"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10306644,0.625,37.208,33.1,97.055,0.341,366.76,18.405,26.006,4.459,125.474,0.036,18.632,27.554,28.641,-0.227,-1.548,0.305,"POLYGON ((37.16666579799994 0.583333104999987, 37.249999130999939 0.583333104999987, 37.249999130999939 0.666666437999987, 37.16666579799994 0.666666437999987, 37.16666579799994 0.583333104999987))"
10310569,3.458,38.958,5.4,132.546,0.041,495.631,21.8,31.242,6.276,147.707,0.043,22.816,30.721,-0.876,-1.016,0.521,-0.002,"POLYGON ((38.916665790999957 3.4166664269999885, 38.999999123999956 3.4166664269999885, 38.999999123999956 3.4999997599999886, 38.916665790999957 3.4999997599999886, 38.916665790999957 3.4166664269999885))"
10311910,1.958,39.958,1.008,132.048,0.008,535.409,23.434,32.259,5.946,160.542,0.036,24.355,32.469,-4.937,-0.921,-0.209,-0.028,"POLYGON ((39.916665786999943 1.916666432999989, 39.999999119999941 1.916666432999989, 39.999999119999941 1.9999997659999889, 39.916665786999943 1.9999997659999889, 39.916665786999943 1.916666432999989))"
10316830,3.458,36.875,21.7,121.211,0.179,534.9,23.351,32.309,5.057,165.619,0.033,23.582,32.229,16.643,-0.231,0.08,0.146,"POLYGON ((36.833332465999945 3.4166664269999885, 36.916665798999944 3.4166664269999885, 36.916665798999944 3.4999997599999886, 36.833332465999945 3.4999997599999886, 36.833332465999945 3.4166664269999885))"
10321585,2.875,39.375,4.9,132.189,0.037,510.23,22.351,31.664,9.028,152.224,0.059,23.358,31.28,-4.128,-1.006,0.384,-0.022,"POLYGON ((39.333332455999965 2.83333309599999, 39.416665788999964 2.83333309599999, 39.416665788999964 2.91666642899999, 39.333332455999965 2.91666642899999, 39.333332455999965 2.83333309599999))"
10323721,3.292,36.458,32.2,118.094,0.273,529.54,23.192,32.111,6.723,169.827,0.036,23.329,32.294,25.477,-0.138,-0.183,0.236,"POLYGON ((36.416665800999965 3.2499997609999838, 36.499999133999964 3.2499997609999838, 36.499999133999964 3.3333330939999839, 36.416665800999965 3.3333330939999839, 36.416665800999965 3.2499997609999838))"
10324352,0.708,38.958,0.5,117.697,0.004,499.945,23.032,30.298,1.768,150.142,0.013,23.15,31.305,-1.268,-0.118,-1.007,-0.008,"POLYGON ((38.916665790999957 0.66666643799998582, 38.999999123999956 0.66666643799998582, 38.999999123999956 0.74999977099998583, 38.916665790999957 0.74999977099998583, 38.916665790999957 0.66666643799998582))"
10324395,1.458,37.875,6.75,110.853,0.061,467.285,21.646,29.506,1.593,149.703,0.012,22.07,30.19,5.157,-0.424,-0.683,0.049,"POLYGON ((37.833332461999959 1.4166664349999891, 37.916665794999957 1.4166664349999891, 37.916665794999957 1.499999767999989, 37.833332461999959 1.499999767999989, 37.833332461999959 1.4166664349999891))"
10326980,1.375,37.292,31.825,99.906,0.319,326.47,16.451,25.295,5.005,127.264,0.038,16.959,26.009,26.82,-0.508,-0.714,0.28,"POLYGON ((37.249999130999953 1.3333331019999903, 37.333332463999952 1.3333331019999903, 37.333332463999952 1.4166664349999902, 37.249999130999953 1.4166664349999902, 37.249999130999953 1.3333331019999903))"
10327087,1.042,39.792,0,127.421,0,528.86,23.691,31.566,2.946,155.908,0.023,24.066,32.203,-2.946,-0.374,-0.637,-0.023,"POLYGON ((39.749999120999945 0.99999976999998808, 39.833332453999944 0.99999976999998808, 39.833332453999944 1.083333102999988, 39.749999120999945 1.083333102999988, 39.749999120999945 0.99999976999998808))"
10328150,1.375,38.042,7.775,111.401,0.07,457.475,21.3,29.198,1.134,148.253,0.008,21.73,29.892,6.641,-0.429,-0.694,0.061,"POLYGON ((37.999999127999956 1.3333331019999903, 38.083332460999955 1.3333331019999903, 38.083332460999955 1.4166664349999902, 37.999999127999956 1.4166664349999902, 37.999999127999956 1.3333331019999903))"
10333667,0.292,38.625,2.8,107.838,0.026,460.155,21.882,28.795,0.906,141.961,0.008,21.822,30.171,1.894,0.06,-1.376,0.018,"POLYGON ((38.583332458999962 0.24999977299998477, 38.666665791999961 0.24999977299998477, 38.666665791999961 0.33333310599998478, 38.583332458999962 0.33333310599998478, 38.583332458999962 0.24999977299998477))"
10404444,-0.042,38.958,1.45,110.898,0.013,502.78,23.527,29.984,0.883,146.27,0.007,23.217,31.389,0.567,0.31,-1.405,0.006,"POLYGON ((38.916665790999957 -0.083333559000010382, 38.999999123999956 -0.083333559000010382, 38.999999123999956 -2.2600001040040674E-07, 38.916665790999957 -2.2600001040040674E-07, 38.916665790999957 -0.083333559000010382))"
10489302,2.542,39.542,0.6,132.144,0.005,521.635,22.819,31.956,11.916,142.955,0.083,23.765,31.72,-11.316,-0.946,0.236,-0.078,"POLYGON ((39.499999121999963 2.4999997639999876, 39.583332454999962 2.4999997639999876, 39.583332454999962 2.5833330969999877, 39.499999121999963 2.5833330969999877, 39.499999121999963 2.4999997639999876))"
10489305,-0.042,38.542,7,105.227,0.067,480.505,22.819,29.215,1.043,126.082,0.009,22.578,30.772,5.957,0.241,-1.557,0.058,"POLYGON ((38.499999125999949 -0.083333559000010382, 38.583332458999948 -0.083333559000010382, 38.583332458999948 -2.2600001040040674E-07, 38.499999125999949 -2.2600001040040674E-07, 38.499999125999949 -0.083333559000010382))"
10489497,0.125,38.792,2.625,109.038,0.024,476.115,22.508,29.233,1.453,130.949,0.011,22.311,30.551,1.172,0.198,-1.319,0.013,"POLYGON ((38.74999912499996 0.0833331069999872, 38.833332457999958 0.0833331069999872, 38.833332457999958 0.16666643999998718, 38.74999912499996 0.16666643999998718, 38.74999912499996 0.0833331069999872))"
10490050,2.958,39.125,2.05,131.597,0.016,508.665,22.313,31.598,9.57,141.023,0.064,23.225,31.091,-7.52,-0.912,0.507,-0.049,"POLYGON ((39.083332456999955 2.9166664289999886, 39.166665789999954 2.9166664289999886, 39.166665789999954 2.9999997619999887, 39.083332456999955 2.9999997619999887, 39.083332456999955 2.9166664289999886))"
