,locationid,latitude,longitude,shapewkt,X,country,CONST_CODE,WARD_NAME,CONSTITUEN,COUNTY_ASS,COUNTY_A_1,COUNTY_COD,COUNTY_NAME
1,10173130,3.208,38.792,"POLYGON ((38.74999912499996 3.166666427999985, 38.833332457999958 3.166666427999985, 38.833332457999958 3.2499997609999851, 38.74999912499996 3.2499997609999851, 38.74999912499996 3.166666427999985))",182,Kenya,45,OBBU,MOYALE,227,OBBU,10,MARSABIT
2,10173297,2.875,37.125,"POLYGON ((37.083332464999955 2.83333309599999, 37.166665797999954 2.83333309599999, 37.166665797999954 2.91666642899999, 37.083332464999955 2.91666642899999, 37.083332464999955 2.83333309599999))",1315,Kenya,48,LOIYANGALANI,LAISAMIS,236,LOIYANGALANI,10,MARSABIT
3,10173723,2.542,37.542,"POLYGON ((37.499999129999964 2.4999997639999876, 37.583332462999962 2.4999997639999876, 37.583332462999962 2.5833330969999877, 37.499999129999964 2.5833330969999877, 37.499999129999964 2.4999997639999876))",238,Kenya,48,KARGI/SOUTH HORR,LAISAMIS,237,KARGI/SOUTH HORR,10,MARSABIT
4,10173724,3.125,38.958,"POLYGON ((38.916665790999957 3.0833330949999862, 38.999999123999956 3.0833330949999862, 38.999999123999956 3.1666664279999863, 38.916665790999957 3.1666664279999863, 38.916665790999957 3.0833330949999862))",685,Kenya,45,BUTIYE,MOYALE,221,BUTIYE,10,MARSABIT
5,10173741,1.708,38.708,"POLYGON ((38.666665791999947 1.6666664339999855, 38.749999124999945 1.6666664339999855, 38.749999124999945 1.7499997669999854, 38.666665791999947 1.7499997669999854, 38.666665791999947 1.6666664339999855))",406,Kenya,49,CHERAB,ISIOLO NORTH,244,CHERAB,11,ISIOLO
6,10174075,0.125,38.292,"POLYGON ((38.249999126999938 0.0833331069999872, 38.333332459999937 0.0833331069999872, 38.333332459999937 0.16666643999998718, 38.249999126999938 0.16666643999998718, 38.249999126999938 0.0833331069999872))",1519,Kenya,50,KINNA,ISIOLO SOUTH,249,KINNA,11,ISIOLO
7,10174101,3.875,37.292,"POLYGON ((37.249999130999953 3.8333330919999895, 37.333332463999952 3.8333330919999895, 37.333332463999952 3.9166664249999896, 37.249999130999953 3.9166664249999896, 37.249999130999953 3.8333330919999895))",151,Kenya,46,DUKANA,NORTH HORR,228,DUKANA,10,MARSABIT
8,10174140,3.958,37.458,"POLYGON ((37.416665796999951 3.9166664249999883, 37.499999129999949 3.9166664249999883, 37.499999129999949 3.9999997579999884, 37.416665796999951 3.9999997579999884, 37.416665796999951 3.9166664249999883))",1256,Kenya,46,DUKANA,NORTH HORR,228,DUKANA,10,MARSABIT
9,10174398,2.292,38.042,"POLYGON ((37.999999127999956 2.2499997649999841, 38.083332460999955 2.2499997649999841, 38.083332460999955 2.3333330979999842, 37.999999127999956 2.3333330979999842, 37.999999127999956 2.2499997649999841))",1656,Kenya,47,SAGANTE/JALDESA,SAKU,233,SAGANTE/JALDESA,10,MARSABIT
10,10174676,2.542,38.958,"POLYGON ((38.916665790999957 2.4999997639999876, 38.999999123999956 2.4999997639999876, 38.999999123999956 2.5833330969999877, 38.916665790999957 2.5833330969999877, 38.916665790999957 2.4999997639999876))",1815,Kenya,45,BUTIYE,MOYALE,221,BUTIYE,10,MARSABIT
11,10174698,3.542,37.958,"POLYGON ((37.916665794999943 3.4999997599999872, 37.999999127999942 3.4999997599999872, 37.999999127999942 3.5833330929999874, 37.916665794999943 3.5833330929999874, 37.916665794999943 3.4999997599999872))",532,Kenya,46,MAIKONA,NORTH HORR,229,MAIKONA,10,MARSABIT
12,10174723,1.125,38.292,"POLYGON ((38.249999126999938 1.0833331029999869, 38.333332459999937 1.0833331029999869, 38.333332459999937 1.1666664359999868, 38.249999126999938 1.1666664359999868, 38.249999126999938 1.0833331029999869))",39,Kenya,49,CHARI,ISIOLO NORTH,243,CHARI,11,ISIOLO
13,10174995,2.542,38.875,"POLYGON ((38.833332457999944 2.4999997639999876, 38.916665790999943 2.4999997639999876, 38.916665790999943 2.5833330969999877, 38.833332457999944 2.5833330969999877, 38.833332457999944 2.4999997639999876))",472,Kenya,45,BUTIYE,MOYALE,221,BUTIYE,10,MARSABIT
14,10175140,0.542,37.375,"POLYGON ((37.333332463999966 0.49999977199998824, 37.416665796999965 0.49999977199998824, 37.416665796999965 0.58333310499998825, 37.333332463999966 0.58333310499998825, 37.333332463999966 0.49999977199998824))",1645,Kenya,49,BURAT,ISIOLO NORTH,246,BURAT,11,ISIOLO
